bin,left,right,data,expected
41,-0.59,-0.5800000000000001,0.0,1.4518129136476323e-09
42,-0.5800000000000001,-0.5700000000000001,0.0,1.486466107484342e-09
43,-0.5700000000000001,-0.56,0.0,1.5227738886169375e-09
44,-0.56,-0.55,0.0,1.560803208932984e-09
45,-0.55,-0.54,0.0,1.6006838580041362e-09
46,-0.54,-0.53,0.0,1.6425263438938793e-09
47,-0.53,-0.52,0.0,1.6864312295273941e-09
48,-0.52,-0.51,0.0,1.7325525446169989e-09
49,-0.51,-0.5,0.0,1.7810060552358002e-09
50,-0.5,-0.49,0.0,1.8319629463859371e-09
51,-0.49,-0.48,0.0,1.8855763020472258e-09
52,-0.48,-0.47000000000000003,0.0,1.9420179163394426e-09
53,-0.47000000000000003,-0.45999999999999996,0.0,2.00146796673158e-09
54,-0.45999999999999996,-0.45,0.0,2.0641333965668847e-09
55,-0.45,-0.4399999999999999,0.0,2.1302502350995186e-09
56,-0.4399999999999999,-0.42999999999999994,0.0,2.2000262623806645e-09
57,-0.42999999999999994,-0.42000000000000004,0.0,2.2737259175231146e-09
58,-0.42000000000000004,-0.41000000000000003,0.0,2.3516371965895855e-09
59,-0.41000000000000003,-0.4000000000000001,0.0,2.4340486912948243e-09
60,-0.4000000000000001,-0.39,0.0,2.5212833770339507e-09
61,-0.39,-0.38,0.0,2.613698445096223e-09
62,-0.38,-0.37,0.0,2.711667652037194e-09
63,-0.37,-0.36,0.0,2.815627169945252e-09
64,-0.36,-0.35,0.0,2.9260112078566197e-09
65,-0.35,-0.33999999999999997,0.0,3.0433238741680616e-09
66,-0.33999999999999997,-0.32999999999999996,0.0,3.1680916206361794e-09
67,-0.32999999999999996,-0.31999999999999995,0.0,3.3009234101691786e-09
68,-0.31999999999999995,-0.30999999999999994,0.0,3.442442844942419e-09
69,-0.30999999999999994,-0.29999999999999993,0.0,3.593369874841375e-09
70,-0.29999999999999993,-0.29000000000000004,0.0,3.754457912922831e-09
71,-0.29000000000000004,-0.28,0.0,3.92656406991391e-09
72,-0.28,-0.2700000000000001,0.0,4.110613964354036e-09
73,-0.2700000000000001,-0.26,0.0,4.307619126004445e-09
74,-0.26,-0.25,0.0,4.5187129240688855e-09
75,-0.25,-0.24,0.0,4.745117082499898e-09
76,-0.24,-0.22999999999999995,0.0,4.988198498994498e-09
77,-0.22999999999999995,-0.21999999999999997,0.0,5.249452535075575e-09
78,-0.21999999999999997,-0.21,0.0,5.530546433478466e-09
79,-0.21,-0.19999999999999993,0.0,5.833312899329814e-09
80,-0.19999999999999993,-0.18999999999999992,0.0,6.159776786893365e-09
81,-0.18999999999999992,-0.17999999999999994,0.0,6.512205908230946e-09
82,-0.17999999999999994,-0.1699999999999999,0.0,6.8930915664444055e-09
83,-0.1699999999999999,-0.16000000000000003,0.0,7.3052244574479106e-09
84,-0.16000000000000003,-0.15,0.0,7.751699265688486e-09
85,-0.15,-0.14000000000000004,0.0,8.235969461320846e-09
86,-0.14000000000000004,-0.13,0.0,8.761894753736748e-09
87,-0.13,-0.12,0.0,9.333775189997398e-09
88,-0.12,-0.11,0.0,9.956436160813882e-09
89,-0.11,-0.1,0.0,1.0635281943680797e-08
90,-0.1,-0.08999999999999997,0.0,1.1376372652090255e-08
91,-0.08999999999999997,-0.07999999999999996,0.0,1.2186531743355237e-08
92,-0.07999999999999996,-0.06999999999999997,0.0,1.3073420783817455e-08
93,-0.06999999999999997,-0.059999999999999915,0.0,1.4045691589465913e-08
94,-0.059999999999999915,-0.04999999999999993,0.0,1.511310645101769e-08
95,-0.04999999999999993,-0.04000000000000004,0.0,1.6286693629692228e-08
96,-0.04000000000000004,-0.030000000000000016,0.0,1.7578954222946066e-08
97,-0.030000000000000016,-0.020000000000000028,0.0,1.900405634671932e-08
98,-0.020000000000000028,-0.010000000000000005,0.0,2.0578090642615736e-08
99,-0.010000000000000005,0.0,0.0,2.2319367184779017e-08
100,0.0,0.009999999999999986,0.0,2.424875788836247e-08
101,0.009999999999999986,0.02000000000000003,0.0,2.6390066008800588e-08
102,0.02000000000000003,0.03,0.0,2.8770520571484708e-08
103,0.03,0.04000000000000003,0.0,3.1421301607617186e-08
104,0.04000000000000003,0.05000000000000005,0.0,3.4378167070567806e-08
105,0.05000000000000005,0.060000000000000026,0.0,3.768222369622619e-08
106,0.060000000000000026,0.07000000000000008,0.0,4.138077899910059e-08
107,0.07000000000000008,0.0800000000000001,0.0,4.5528390832697174e-08
108,0.0800000000000001,0.09000000000000011,0.0,5.018808902281067e-08
109,0.09000000000000011,0.1000000000000001,0.0,5.5432822166050394e-08
110,0.1000000000000001,0.1100000000000001,0.0,6.134716969615971e-08
111,0.1100000000000001,0.12000000000000012,0.0,6.80293829391202e-08
112,0.12000000000000012,0.13000000000000012,0.0,7.559381675322974e-08
113,0.13000000000000012,0.14000000000000012,0.0,8.417380308661579e-08
114,0.14000000000000012,0.15000000000000016,0.0,9.392511684893647e-08
115,0.15000000000000016,0.15999999999999992,0.0,1.0503009481178034e-07
116,0.15999999999999992,0.16999999999999993,0.0,1.1770259475328375e-07
117,0.16999999999999993,0.17999999999999994,0.0,1.3219392936308793e-07
118,0.17999999999999994,0.18999999999999997,0.0,1.4880002070239352e-07
